# NameField1,NameField2,NameField3,relative URL - append to http:/www.namebase.org/
A & S,FLOWER,EXCHANGE,xaaa/A-_26-b-Flower-Exchange.html
A & S,FLOWER,EXCHANGE,xaaa/A-_26-s-Flower-Exchange.html
